0.00,-27.00,-157.00,10.00,51218
0,0,343.00,-261.00,-8.00,67687
0,0,5.00,329.00,-542.00,67710
0,0,-83.00,-385.00,-376.00,67734
0,0,-25.00,105.00,496.00,67757
0,0,-307.00,-285.00,-106.00,67781
0,0,-145.00,-603.00,-616.00,67804
0,0,745.00,-201.00,-80.00,67828
0,0,607.00,-343.00,376.00,67851
0,0,551.00,-37.00,-532.00,67874
0,0,451.00,371.00,590.00,67897
0,0,549.00,-53.00,372.00,67921
0,0,-215.00,-7.00,-190.00,67944
0,0,-27.00,-193.00,-2.00,67967
0,0,-25.00,-103.00,34.00,67991
0,0,57.00,-151.00,6.00,68015
0,0,-9.00,-131.00,-12.00,68038
0,0,5.00,-113.00,-44.00,68061
0,0,-25.00,-133.00,44.00,68084
0,0,-13.00,-107.00,26.00,68108
0,0,-7.00,-151.00,38.00,68131
0,0,-23.00,-163.00,14.00,68154
0,0,1.00,-151.00,16.00,68178
0,0,-19.00,-179.00,12.00,68201
0,0,-29.00,-139.00,0.00,68225
0,0,5.00,-129.00,30.00,68249
0,0,-25.00,-131.00,12.00,68272
0.00,0.00,-9.00,-173.00,-20.00,68378
0.00,0.00,-17.00,-141.00,28.00,68444
0.00,0.00,-39.00,-157.00,0.00,68509
0.00,0.00,-23.00,-141.00,16.00,68574
0.00,0.00,-21.00,-149.00,14.00,68639
0.00,0.00,-23.00,-151.00,24.00,68705
0.00,0.00,-21.00,-167.00,8.00,68770
0.00,0.00,-13.00,-149.00,14.00,68836
0.00,0.00,-19.00,-141.00,32.00,68901
0.00,0.00,-17.00,-151.00,20.00,68986
0,0,-19.00,-155.00,-2.00,69010
0,0,-21.00,-145.00,26.00,69033
0,0,-9.00,-149.00,0.00,69057
0,0,-13.00,-139.00,20.00,69081
0,0,-15.00,-149.00,28.00,69104
0,0,-31.00,-147.00,8.00,69128
0,0,-11.00,-165.00,28.00,69151
0,0,-17.00,-163.00,22.00,69175
0,0,-19.00,-159.00,20.00,69198
0,0,-19.00,-143.00,18.00,69222
0,0,-27.00,-157.00,6.00,69246
0,0,-7.00,-137.00,-4.00,69269
0,0,-7.00,-145.00,8.00,69292
0,0,-19.00,-175.00,6.00,69316
0,0,-17.00,-163.00,10.00,69340
0,0,-17.00,-159.00,4.00,69363
0,0,-45.00,-141.00,34.00,69387
0,0,-17.00,-139.00,12.00,69410
0,0,-17.00,-141.00,4.00,69433
0,0,-17.00,-149.00,38.00,69457
0,0,-17.00,-147.00,6.00,69480
0,0,-9.00,-147.00,28.00,69504
0,0,-25.00,-155.00,34.00,69527
0,0,-17.00,-139.00,18.00,69551
0,0,-3.00,-167.00,22.00,69574
0,0,-47.00,-161.00,26.00,69598
0,0,-13.00,-147.00,6.00,69622
0,0,-13.00,-149.00,28.00,69645
0,0,-11.00,-153.00,20.00,69668
0,0,-21.00,-143.00,32.00,69692
0,0,-33.00,-153.00,42.00,69715
0,0,-3.00,-153.00,18.00,69738
0,0,-17.00,-151.00,4.00,69762
0,0,-23.00,-151.00,32.00,69785
0,0,-23.00,-163.00,24.00,69808
0,0,-13.00,-153.00,22.00,69832
0,0,-1.00,-155.00,40.00,69875
0,0,-23.00,-135.00,6.00,69899
0,0,783.00,-1.00,-60.00,69922
0,0,329.00,39.00,-16.00,69946
