si,pga,x,y,z,time
0.0,0.0,-28.0,2.0,3.0,43759
0.0,0.0,20.0,8.0,-9.0,43782
0.0,0.0,-2.0,-16.0,9.0,43805
0.0,0.0,-16.0,34.0,-5.0,43828
0.0,0.0,12.0,24.0,19.0,43851
0.0,0.0,26.0,28.0,-31.0,43874
0.0,0.0,16.0,38.0,-15.0,43897
0.0,0.0,14.0,4.0,-13.0,43921
0.0,0.0,10.0,40.0,-7.0,43944
0.0,0.0,-8.0,12.0,21.0,43967
0.0,0.0,10.0,-2.0,13.0,43990
0.0,0.0,4.0,6.0,-7.0,44013
0.0,0.0,10.0,18.0,7.0,44036
0.0,0.0,14.0,24.0,7.0,44060
0.0,0.0,40.0,-18.0,1.0,44083
0.0,0.0,12.0,30.0,17.0,44106
0.0,0.0,4.0,16.0,-21.0,44129
0.0,0.0,20.0,10.0,19.0,44152
0.0,0.0,14.0,10.0,11.0,44175
0.0,0.0,20.0,-12.0,-7.0,44198
0.0,0.0,12.0,0.0,1.0,44221
0.0,0.0,40.0,16.0,-1.0,44245
0.0,0.0,30.0,-24.0,19.0,44268
0.0,0.0,18.0,-12.0,-11.0,44291
0.0,0.0,12.0,-10.0,11.0,44314
0.0,0.0,22.0,-14.0,23.0,44337
0.0,0.0,20.0,-4.0,31.0,44360
0.0,0.0,4.0,-36.0,7.0,44383
0.0,0.0,26.0,-12.0,-1.0,44407
0.0,0.0,10.0,-44.0,-3.0,44430
0.0,0.0,16.0,-10.0,11.0,44453
0.0,0.0,6.0,-18.0,13.0,44477
0.0,0.0,2.0,-28.0,-9.0,44500
0.0,0.0,10.0,-20.0,-1.0,44523
0.0,0.0,-34.0,-38.0,27.0,44546
0.0,0.0,52.0,2.0,-5.0,44569
0.0,0.0,-68.0,-60.0,9.0,44592
0.0,0.0,80.0,-18.0,-13.0,44615
0.0,0.0,-20.0,-46.0,21.0,44638
0.0,0.0,-18.0,36.0,-17.0,44661
0.0,0.0,6.0,-74.0,3.0,44684
0.0,0.0,0.0,28.0,-1.0,44707
0.0,0.0,0.0,-48.0,-5.0,44730
0.0,0.0,-20.0,-16.0,15.0,44754
0.0,0.0,-30.0,14.0,-37.0,44777
0.0,0.0,-10.0,-56.0,43.0,44800
0.0,0.0,-42.0,32.0,-13.0,44823
0.0,0.0,-10.0,-28.0,9.0,44846
0.0,0.0,-4.0,18.0,1.0,44870
0.0,0.0,-36.0,-34.0,-23.0,44893
0.0,0.0,-12.0,-8.0,13.0,44916
0.0,0.0,-34.0,-20.0,-9.0,44939
0.0,0.0,-4.0,-16.0,17.0,44962
0.0,0.0,-42.0,20.0,-5.0,44985
0.0,0.0,-28.0,-46.0,5.0,45008
0.0,0.0,-12.0,32.0,-3.0,45031
0.0,0.0,-32.0,-26.0,-7.0,45055
0.0,0.0,-14.0,12.0,3.0,45078
0.0,0.0,-40.0,36.0,-23.0,45101
0.0,0.0,-12.0,-20.0,-13.0,45124
0.0,0.0,-18.0,30.0,-9.0,45147
0.0,0.0,-24.0,22.0,9.0,45171
0.0,0.0,-12.0,56.0,-3.0,45194
0.0,0.0,-52.0,36.0,13.0,45217
0.0,0.0,12.0,42.0,3.0,45240
0.0,0.0,-42.0,24.0,-9.0,45263
0.0,0.0,4.0,18.0,9.0,45286
0.0,0.0,-16.0,48.0,-13.0,45309
0.0,0.0,-2.0,36.0,11.0,45332
0.0,0.0,8.0,8.0,-3.0,45356
0.0,0.0,-4.0,38.0,5.0,45379
0.0,0.0,26.0,20.0,-1.0,45402
0.0,0.0,6.0,-4.0,11.0,45425
0.0,0.0,8.0,22.0,-25.0,45448
0.0,0.0,16.0,4.0,17.0,45471
0.0,0.0,-6.0,40.0,-5.0,45494
0.0,0.0,22.0,38.0,-3.0,45517
0.0,0.0,20.0,14.0,-29.0,45540
0.0,0.0,0.0,26.0,-25.0,45563
0.0,0.0,30.0,-16.0,13.0,45587
0.0,0.0,14.0,36.0,-29.0,45610
0.0,0.0,10.0,34.0,-1.0,45633
0.0,0.0,30.0,14.0,39.0,45656
0.0,0.0,30.0,48.0,17.0,45679
0.0,0.0,24.0,16.0,-17.0,45703
0.0,0.0,14.0,2.0,11.0,45726
0.0,0.0,36.0,30.0,1.0,45749
0.0,0.0,14.0,-4.0,-17.0,45772
0.0,0.0,34.0,-12.0,7.0,45795
0.0,0.0,32.0,4.0,-15.0,45819
0.0,0.0,12.0,-50.0,-5.0,45842
0.0,0.0,12.0,-32.0,37.0,45865
0.0,0.0,26.0,2.0,13.0,45888
0.0,0.0,30.0,-36.0,-7.0,45912
0.0,0.0,10.0,20.0,-7.0,45935
0.0,0.0,36.0,-46.0,9.0,45958
0.0,0.0,24.0,-50.0,-5.0,45981
0.0,0.0,18.0,-66.0,-19.0,46004
0.0,0.0,26.0,-52.0,11.0,46027
0.0,0.0,30.0,-56.0,-9.0,46050
0.0,0.0,-8.0,-60.0,3.0,46073
0.0,0.0,8.0,-46.0,-7.0,46097
0.0,0.0,-14.0,-44.0,23.0,46120
0.0,0.0,6.0,-18.0,15.0,46143
0.0,0.0,-10.0,-58.0,13.0,46166
0.0,0.0,4.0,-32.0,1.0,46189
0.0,0.0,-26.0,-38.0,5.0,46212
0.0,0.0,4.0,-56.0,1.0,46236
0.0,0.0,-26.0,-32.0,-31.0,46259
0.0,0.0,-6.0,-32.0,25.0,46282
0.0,0.0,-30.0,-68.0,-9.0,46306
0.0,0.0,-22.0,32.0,-23.0,46329
0.0,0.0,-4.0,-30.0,-37.0,46352
