0.00,19.00,-131.00,8.00,396779
0,0,-37.00,-139.00,10.00,409998
0,0,1.00,-155.00,32.00,410042
0,0,-27.00,-141.00,14.00,410066
0,0,-1.00,-145.00,18.00,410091
0,0,-1.00,-141.00,4.00,410115
0,0,-15.00,-135.00,18.00,410139
0,0,-23.00,-145.00,24.00,410163
0,0,-5.00,-125.00,6.00,410187
0,0,-7.00,-131.00,6.00,410211
0,0,-33.00,-151.00,6.00,410235
0,0,-1.00,-135.00,16.00,410258
0,0,-9.00,-145.00,24.00,410282
0,0,-17.00,-127.00,14.00,410306
0,0,-17.00,-137.00,10.00,410329
0,0,-9.00,-149.00,32.00,410352
0,0,-15.00,-133.00,30.00,410376
0,0,-25.00,-133.00,26.00,410400
0,0,-7.00,-157.00,22.00,410424
0,0,-37.00,-145.00,26.00,410448
0,0,-9.00,-155.00,22.00,410472
0,0,-13.00,-145.00,20.00,410496
0,0,-13.00,-133.00,38.00,410520
0,0,-19.00,-133.00,42.00,410544
0,0,-15.00,-127.00,8.00,410567
0,0,-15.00,-125.00,16.00,410591
0,0,-31.00,-127.00,8.00,410614
0,0,-17.00,-131.00,14.00,410638
0,0,-23.00,-133.00,26.00,410662
0,0,-27.00,-137.00,12.00,410686
0,0,-27.00,-125.00,34.00,410710
0,0,-31.00,-131.00,12.00,410734
0,0,-31.00,-145.00,12.00,410758
0,0,-19.00,-143.00,12.00,410782
0,0,3.00,-141.00,16.00,410806
0,0,-15.00,-135.00,26.00,410830
0,0,-19.00,-147.00,10.00,410854
0,0,-17.00,-139.00,20.00,410878
0,0,-15.00,-139.00,14.00,410902
0,0,-33.00,-145.00,20.00,410926
0,0,-21.00,-133.00,2.00,410950
0,0,-29.00,-153.00,32.00,410974
0,0,-19.00,-135.00,40.00,410998
0,0,-15.00,-147.00,18.00,411022
0,0,-13.00,-137.00,36.00,411046
0,0,-9.00,-141.00,2.00,411070
0,0,-17.00,-145.00,14.00,411094
0,0,-15.00,-135.00,34.00,411117
0,0,-19.00,-129.00,34.00,411141
0,0,-23.00,-139.00,18.00,411163
0,0,11.00,-139.00,10.00,411187
0,0,-13.00,-129.00,-2.00,411210
0,0,-17.00,-135.00,18.00,411234
0,0,-9.00,-129.00,12.00,411258
0,0,-13.00,-143.00,10.00,411282
0,0,-23.00,-135.00,58.00,411305
0,0,-29.00,-147.00,18.00,411349
0,0,-25.00,-131.00,18.00,411372
0,0,-3.00,-133.00,38.00,411396
0,0,-21.00,-127.00,14.00,411419
0,0,-27.00,-135.00,10.00,411443
0,0,-5.00,-145.00,18.00,411466
0,0,-11.00,-147.00,32.00,411489
0,0,-17.00,-149.00,24.00,411513
0,0,-27.00,-131.00,24.00,411537
0,0,-19.00,-143.00,12.00,411560
0,0,-25.00,-153.00,24.00,411584
0,0,-19.00,-131.00,22.00,411608
0,0,9.00,-147.00,12.00,411632
0,0,-29.00,-131.00,14.00,411657
0.00,0.00,-19.00,-143.00,26.00,411964
0.00,0.00,-17.00,-127.00,14.00,412031
0.00,0.00,-19.00,-131.00,34.00,412097
0.00,0.00,-39.00,-133.00,26.00,412163
0.00,0.00,-17.00,-141.00,26.00,412229
0.00,0.00,-19.00,-133.00,8.00,412295
0.00,0.00,-11.00,-145.00,22.00,412360
0.00,0.00,-31.00,-153.00,36.00,412426
0.00,0.00,-27.00,-141.00,26.00,412491
0.00,0.00,-7.00,-149.00,18.00,412578
0,0,-19.00,-139.00,14.00,412601
0,0,-25.00,-131.00,24.00,412625
0,0,-17.00,-143.00,10.00,412648
0,0,-13.00,-159.00,20.00,412672
0,0,-1.00,-139.00,-4.00,412696
0,0,-7.00,-149.00,24.00,412719
0,0,1.00,-151.00,14.00,412742
0,0,-9.00,-135.00,54.00,412766
0,0,-19.00,-141.00,26.00,412790
0,0,-15.00,-147.00,16.00,412814
0,0,-15.00,-133.00,10.00,412838
0,0,-5.00,-137.00,18.00,412862
0,0,-33.00,-143.00,28.00,412886
0,0,-11.00,-139.00,32.00,412910
0,0,-15.00,-159.00,18.00,412934
