id,value,feed_id,Time Stemp,lat,lon,ele
0FFMK67NED07R9WC78SFX7QN26,110.86,2699033,2023-12-19 20:49:00 UTC,,,
0FFMK69JV7T8S9VNM7Y8VXRR6X,105.70,2699033,2023-12-19 20:49:06 UTC,,,
0FFMK6BG5N3978A53JP1NDFK41,101.70,2699033,2023-12-19 20:49:13 UTC,,,
0FFMK6DDKNCV90M088MVQHHDNS,95.85,2699033,2023-12-19 20:49:19 UTC,,,
0FFMK6FB1M2PJZX9JPSBB3Z9J9,88.04,2699033,2023-12-19 20:49:25 UTC,,,
0FFMK6H8K6JQTJGN7PB95DCQKM,86.35,2699033,2023-12-19 20:49:32 UTC,,,
0FFMK6K5WJ3WQMZ8NH03FD7CQ5,84.25,2699033,2023-12-19 20:49:38 UTC,,,
0FFMK6N362RWKAXWQ3NR64F5NF,86.89,2699033,2023-12-19 20:49:44 UTC,,,
0FFMK6Q0J96Z8H05K53F6HFSW7,108.15,2699033,2023-12-19 20:49:50 UTC,,,
0FFMK6RXZ1NJJVTXF0DMYNKJK2,88.37,2699033,2023-12-19 20:49:57 UTC,,,
0FFMK6TVDKZNHZECBHKM0DD6MA,86.05,2699033,2023-12-19 20:50:03 UTC,,,
0FFMK6WRR5Q6HWED9F0YY1RFM7,85.73,2699033,2023-12-19 20:50:09 UTC,,,
0FFMK6YP3D0JH1F7CWW8NRTC5X,94.88,2699033,2023-12-19 20:50:15 UTC,,,
0FFMK70KJRS7MZYTENX2PBFDQ6,87.06,2699033,2023-12-19 20:50:22 UTC,,,
0FFMK72GWJ0DQ9RKNRNVZRT1DM,91.96,2699033,2023-12-19 20:50:28 UTC,,,
0FFMK74EATQEVQR2ADS9E8YQ8J,119.04,2699033,2023-12-19 20:50:34 UTC,,,
0FFMK76BX0C927THG5T86MN0NQ,125.84,2699033,2023-12-19 20:50:41 UTC,,,
0FFMK789BZ135AGESDPHBPC3J9,110.72,2699033,2023-12-19 20:50:47 UTC,,,
0FFMK7A6HKMKJFMN6GCPFBY2NE,105.10,2699033,2023-12-19 20:50:53 UTC,,,
0FFMK7C406C69MKVYMS8ZSPGX6,104.99,2699033,2023-12-19 20:51:00 UTC,,,
0FFMK7E18YGMM25YYHQJW4FTFC,123.87,2699033,2023-12-19 20:51:06 UTC,,,
0FFMK7FYN9ZF47CGRJYARXVZ3W,125.76,2699033,2023-12-19 20:51:12 UTC,,,
0FFMK7HW424DS17V6ABGBWY5EJ,106.83,2699033,2023-12-19 20:51:18 UTC,,,
0FFMK7KSFMJ4K0VMJS2ERFPZ36,127.10,2699033,2023-12-19 20:51:25 UTC,,,
0FFMK7NPX3MNSTSTYVRPPYEKPE,132.20,2699033,2023-12-19 20:51:31 UTC,,,
0FFMK7QM7V79J8HAMS40M77M2P,130.71,2699033,2023-12-19 20:51:37 UTC,,,
0FFMK7SHNFAWMBZNT3946PQF5Y,120.69,2699033,2023-12-19 20:51:44 UTC,,,
0FFMK7VF1GDDXBF09MH728HP5Q,114.69,2699033,2023-12-19 20:51:50 UTC,,,
0FFMK7XCN7Y23WCX6W8HF4P2TM,111.80,2699033,2023-12-19 20:51:56 UTC,,,
0FFMK7Z9TAPXBQR6CDENG8W9EZ,116.66,2699033,2023-12-19 20:52:02 UTC,,,
0FFMK8179RBFC4YV84SQ7A62CA,118.00,2699033,2023-12-19 20:52:09 UTC,,,
0FFMK834K7C7G36BAXRZMJWX78,118.00,2699033,2023-12-19 20:52:15 UTC,,,
0FFMK8520FVJPV4AEHVKBXEFCQ,119.09,2699033,2023-12-19 20:52:21 UTC,,,
0FFMK86ZDS8XCZ3VFHQSAJ0802,126.15,2699033,2023-12-19 20:52:28 UTC,,,
0FFMK88WTXWTZWH2754ZYEN4DH,127.07,2699033,2023-12-19 20:52:34 UTC,,,
0FFMK8AT68X8AVHJZ9W7ASTF26,123.39,2699033,2023-12-19 20:52:40 UTC,,,
0FFMK8CQJTSVN9QKXH7NYRKADG,120.28,2699033,2023-12-19 20:52:46 UTC,,,
0FFMK8EMZGJW4KS69NB9NGGZ9M,121.76,2699033,2023-12-19 20:52:53 UTC,,,
0FFMK8GJCNNDN417E6SR0YW8KF,121.42,2699033,2023-12-19 20:52:59 UTC,,,
0FFMK8JFV7XTF486V7ZTGVDXF2,120.71,2699033,2023-12-19 20:53:05 UTC,,,
0FFMK8MD7DRTD8H4RGFZFJXFRG,124.02,2699033,2023-12-19 20:53:12 UTC,,,
0FFMK8PAT8N845BVW7Z4XK6NY7,124.92,2699033,2023-12-19 20:53:18 UTC,,,
0FFMK8R82F355NFQENPJKQKN73,122.17,2699033,2023-12-19 20:53:24 UTC,,,
0FFMK8T5RV3BH7J2K7CKTSCAFB,117.45,2699033,2023-12-19 20:53:30 UTC,,,
0FFMK8W2TDS6C9VV5CFB8K862V,118.66,2699033,2023-12-19 20:53:37 UTC,,,
0FFMK8Y03K7Z8XXPNPE8KJ707B,120.63,2699033,2023-12-19 20:53:43 UTC,,,
0FFMK8ZXHA3YNS2FDAPPX3KZG3,122.42,2699033,2023-12-19 20:53:49 UTC,,,
0FFMK91TXQ330X37XMAACQH9FJ,124.35,2699033,2023-12-19 20:53:56 UTC,,,
0FFMK93RCGMA2GPN74CN4HQSZ0,125.52,2699033,2023-12-19 20:54:02 UTC,,,
0FFMK95P136KH96D6E6H2NS37K,122.55,2699033,2023-12-19 20:54:08 UTC,,,
0FFMK97K2R1DSXGDJHZ2GE1JQ1,123.07,2699033,2023-12-19 20:54:14 UTC,,,
0FFMK99GFCW09S0X4M69JH0XCT,121.97,2699033,2023-12-19 20:54:21 UTC,,,
0FFMK9BE1XY4WQXRGS45P8GDV7,122.93,2699033,2023-12-19 20:54:27 UTC,,,
0FFMK9DBBS2WJFBQ0CPFAWG46H,124.04,2699033,2023-12-19 20:54:33 UTC,,,
0FFMK9F90S59HYFS7WGMEFEBT9,122.39,2699033,2023-12-19 20:54:40 UTC,,,
0FFMK9H626EKJ3H91TJ4EZ5TGA,123.63,2699033,2023-12-19 20:54:46 UTC,,,
0FFMK9K3FF0E7XY5ZW6MY8Z65D,122.38,2699033,2023-12-19 20:54:52 UTC,,,
0FFMK9N0ZXEF8XYGPPY9KWBVWQ,124.97,2699033,2023-12-19 20:54:58 UTC,,,
0FFMK9PYBKN05PSNSXJD8VQJYR,122.25,2699033,2023-12-19 20:55:05 UTC,,,
0FFMK9RVMG56TDQ840VD9TMAFS,124.80,2699033,2023-12-19 20:55:11 UTC,,,
0FFMK9TS0THCCGS2B834RM2Z85,123.71,2699033,2023-12-19 20:55:17 UTC,,,
0FFMK9WPJ7QZA5WA0J7X4RGKW0,122.62,2699033,2023-12-19 20:55:24 UTC,,,
0FFMK9YKWTAV2X6R5BSZPWEC88,118.79,2699033,2023-12-19 20:55:30 UTC,,,
0FFMKA0H9GA8DAHJ7CFNFD5EJM,120.83,2699033,2023-12-19 20:55:36 UTC,,,
0FFMKA2EKX97C830ANDTJW89EK,117.22,2699033,2023-12-19 20:55:42 UTC,,,
0FFMKA4C0PDM227G6HFTQP3AV0,116.61,2699033,2023-12-19 20:55:49 UTC,,,
0FFMKA69C3B2ZRYNWPYG0MWZKN,119.26,2699033,2023-12-19 20:55:55 UTC,,,
0FFMKA86SBP7GPW13JFPQY43WP,117.32,2699033,2023-12-19 20:56:01 UTC,,,
0FFMKAA46Z2P501JDE76MDS82K,118.13,2699033,2023-12-19 20:56:08 UTC,,,
0FFMKAC1JGZCKKP1FG9FDNA24D,115.44,2699033,2023-12-19 20:56:14 UTC,,,
0FFMKADZ06A8HSNZ3TTF3RYMW8,114.80,2699033,2023-12-19 20:56:20 UTC,,,
0FFMKAFWFFJG56NKN16F12K8GF,111.65,2699033,2023-12-19 20:56:26 UTC,,,
0FFMKAHSQKJ9YJH7GF0C1PPJ6B,108.43,2699033,2023-12-19 20:56:33 UTC,,,
